ID,PEAKID,URL,NAME,ALTERNATE_NAMES,LAT,LON,ELEVATION_M,ELEVATION_FT,STATUS,FIRST_ASCENT_ON,FIRST_ASCENT_BY,DESCRIPTION,PROVINCE,DISTRICT,MUNICIPALITY,RANGE,NEPALESE_FEES,FOREIGNER_FEES
ANN2,ANN2,https://nepalhimalpeakprofile.org/annapurna-ii,Annapurna II,,28.534722222222225,84.12416666666665,7937.0,26040.0,Opened,17/05/1960,"Richard Grant (United Kingdom),Chris Bonington  (United Kingdom),Ang Nyima Sherpa (Nepal)",,Gandaki Pradesh,Kaski/Manang,Madi/Nesyang,Annapurna,Spring 8000 (NRs),Spring 600 (USD)
ANN3,ANN3,https://nepalhimalpeakprofile.org/annapurna-iii,Annapurna III,,28.584444444444443,83.99166666666667,7555.0,24786.0,Opened,06/05/1961,"Mohan,Kohli  (India),Sonam Gyatso (India),Sonam Girmi (India)",,Gandaki Pradesh,Kaski/Manang,Nesyang/Machhapuchhre,Annapurna,Spring 8000 (NRs),Spring 600 (USD)
ANN4,ANN4,https://nepalhimalpeakprofile.org/annapurna-iv,Annapurna IV,,28.53666666666667,84.085,7525.0,24688.0,Opened,30/05/1955,"Heinz Steinmetz (Germany),Harald Biller (Germany),Juergen Wellenkamp (Germany)",,,Kaski,Machhapuchhre/Madi,Annapurna,Spring 8000 (NRs),Spring 600 (USD)
ANNE,ANNE,,Annapurna I East,,28.61277778,83.83694444,,,,,,Annapurna I East is a subsidiary mountain of Annapurna I Main located in Nepal.,Gandaki Pradesh,Myagdi/Kaski,Annapurna/Annapurna,Annapurna,Spring 10000 (NRs),Spring 1800 (USD)
ANNM,ANNM,,Annapurna I Middle,,28.60002778,83.83336111,,,,,,Annapurna I East is a subsidiary mountain of Annapurna I Main located in Nepal.,Gandaki Pradesh,Myagdi/Kaski,Annapurna/Annapurna,Annapurna,Spring 10000 (NRs),Spring 1800 (USD)
ANNS,ANNS,https://nepalhimalpeakprofile.org/annapurna-south,Annapurna South,"Modi Peak,Moditse",28.51833333333333,83.80805555555555,7219.0,23684.0,Opened,15/10/1964,"Shiochiro Uyeo (Japan),Mingma Tsering Sherpa (Nepal)",,Gandaki Pradesh,Myagdi/Kaski,Annapurna/Annapurna,Annapurna,Spring 6000 (NRs),Spring 500 (USD)
APIM,APIM,https://nepalhimalpeakprofile.org/api,Api,,30.005277777777778,80.93166666666667,7132.0,23399.0,Opened,10/05/1960,"Katsutoshi Hirabayashi  (Japan),Gyaltsen Norbu Sherpa (Nepal)",,Sudhurpashchim Pradesh,Darchula,Byas,Byas,Spring 6000 (NRs),Spring 500 (USD)
APIW,APIW,https://nepalhimalpeakprofile.org/api-west,Api West,,30.001666666666665,80.92555555555556,7100.0,23215.0,Opened,,,,Sudhurpashchim Pradesh,Darchula,Byas,Byas,Spring 6000 (NRs),Spring 500 (USD)
ARDN,ARDN,https://nepalhimalpeakprofile.org/ardang,Ardang,,30.198888888888888,81.62333333333332,6034.0,19796.0,Opened,,,Ardang located in the Karnali Province of Nepal is part of Chandi sub range. The main entry point for Ardang is through flight to Simikot.,Karnali Pradesh,Humla,Namkha,Chandi,Spring 4000 (NRs),Spring 250 (USD)
ARNK,ARNK,https://nepalhimalpeakprofile.org/araniko-chuli,Araniko Chuli,Arniko Chuli,29.176111111111112,83.65944444444445,6039.0,19796.0,Opened,10/07/2023,"Tamotsu Ohnishi (Japan),Ang Phurba Sherpa (Nepal),Dikki Sherpa  (Nepal)",Araniko or Aruniko is the name after a famous artist of Nepal who went to Tibet in the later 13th Century to design statues for Buddhist monasteries.,Gandaki Pradesh,Dolpa/Mustang,Chharka Tongsong/Dalome,Damodar,fixed Rs (NRs), (USD)
ASJM,ASAJ,https://nepalhimalpeakprofile.org/asajya-tuppa,Asajya Tuppa,,30.0625,82.27972222222222,6265.0,20554.0,Opened,,,,Karnali Pradesh,Humla/NC,Chankheli/NC,Gorakh,Spring 4000 (NRs),Spring 250 (USD)
ASJW,ASJW,https://nepalhimalpeakprofile.org/asajya-tuppa-west,Asajya Tuppa West,,30.0629,82.2662,6055.0,19865.0,Proposed to open,,,,Karnali Pradesh,,Chankheli/NC,Gorakh,Spring 4000 (NRs),Spring 250 (USD)
BAMO,BAMO,https://nepalhimalpeakprofile.org/bamon-go,Bamongo,,27.90861111111111,86.43527777777778,6400.0,21017.0,Opened,,,Bamongo is in the Rolwaling Himal mountain range of Nepal Himalayas. Bamon Go is an open mountain peak for expedition. Bamon Go is on the boundary of Dolakha and China. Bamon Go is on the boundary of Bagmati Province and China. Bamon Go is on the boundary of Gaurishankar gaupalika and China. Bamon Go is 1.0km west of Khang Nachu Go and 1.9 km east of Cheki Go.,Bagmati Pradesh,Dolakha/NC,Gaurishankar/NC,Gaurishankar,NRs 4000 in spring season (NRs),USD 250 in spring season (USD)
BARU,BARU,https://nepalhimalpeakprofile.org/barun-tse,Barun Tse,,27.87138888888889,86.98277777777778,7129.0,23464.0,Opened,29/05/1954,"Colin Todd,Geoff Harrow","Barun Tse is a mountain located in Mahalangur ridge in the Khumbu region of eastern Nepal, crowned by four peaks and bounded on the south by Hunku Glacier, on the east by Barun Glacier, and on the northwest by Imja glacier.
 Barun Tse peak 7152 meters is located jus south of the semi- circle of fantastic mountains comprising Everest, Lhotse and Nuptse and Makalu on the other side. The expedition to Barun Tse peak approaches base camp through the pristine wilderness environment of the Hinku valley and the renowned Mera La of Makalu Barun remote valleys of Nepal.
Accessing the mountain is usually gained from the south, where climbers can ascend Mera Peak to acclimatize before moving up the valley to Barun Tse base camp. 
The route of south-east ridge of Barun Tse is filled with hard sections of 50 degrees elevation with a prominent ice cliff to be climbed facing the risk of avalanche that is why it is the difficult way. Base camp of Barun Tse is located nearby Panchpokhari(5200m)",Province 1,Solukhumbu/Sankhuwasabha,Makalu/Mahakulung,Barun,Rs (NRs),125 (USD)
BAUD,BAUD,https://nepalhimalpeakprofile.org/baudha-himal,Baudha,,28.37555555555556,84.67888888888889,6672.0,21889.0,Opened,02/05/1970,"Yoshiyuki Kobayashi,Kiyoyasu Shibata","Baudha Himal located in the Gandaki Pradesh, Western Development Region of Nepal is part of Manaslu sub range of the Nepalese Himalayas.",Gandaki Pradesh,Lamjung/Gorkha,Dordi/Chum,Mansiri,Spring 5000 (NRs),Spring 400 (USD)
BEDG,BEDG,https://nepalhimalpeakprofile.org/bedding-go,Bedding Go,,27.925833333333333,86.39305555555556,6125.0,20085.0,Opened,,,,Bagmati Pradesh,Dolakha/NC,Gaurishankar/NC,Rolwaling,Spring 4000 (NRs),Spring 250 (USD)
BHEM,BHEM,https://nepalhimalpeakprofile.org/bhemdang-ri,Bhemdang Ri,"Pemthang Ri,Morimoto",28.273333333333333,85.66777777777779,6150.0,20177.0,Opened,09/05/1964,"Tetsuya Kondo,Soshiro Sasaki,Mingma Tshering Sherpa","Bhemdang Ri, also known as Morimoto, is in the Central Development region of Nepal. Bhemdang Ri is approximately 72 km or 45 miles away from the capital Kathmandu.",Bagmati Pradesh,Rasuwa,Gosai Kunda,Langtang,Rs (NRs), (USD)
BHRI,BHRI,https://nepalhimalpeakprofile.org/bhrikuti,Bhrikuti,Damodar Himal,28.91888888888889,84.14750000000001,6476.0,21246.0,Opened,18/05/1982,"Takashi Sakuma,Masanobu Tsuchiya,Tashi Jangbu Sherpa",,Gandaki Pradesh,Mustang,Dalome,Damodar,Spring 4000 (NRs),Spring 250 (USD)
BHRS,BHRS,https://nepalhimalpeakprofile.org/bhrikuti-shail,Bhrikuti Shail,,28.89388888888889,84.22833333333334,6364.0,20879.0,Opened,16/05/2023,"Paulo Grobel,Denis Flaven,Bikram Singh",,Gandaki Pradesh,Mustang/Manang,Dalome/NarPhu,Damodar,Spring 4000 (NRs),Spring 250 (USD)
BHUL,BHUL,https://nepalhimalpeakprofile.org/bhulu-lhasa,Bhulu Lhasa,,29.441388888888888,82.59944444444444,6102.0,20019.0,Opened,,,Bhulu Lhasa located in the Mugu district is part of Kanjiroba sub range of the Nepalese Himalayas.,Karnali Pradesh,Mugu,Mugu Makarmarong,Kanjiroba,Spring 4000 (NRs),Spring 250 (USD)
BIJO,BIJO,https://nepalhimalpeakprofile.org/bijora-hiun-chuli,Bijora Hiun Chuli,,29.291944444444447,82.53083333333333,6111.0,20049.0,Opened,,,"Bijora Hiun Chuli, located in the Mid-Western Region of Nepal, is approximately 117 km or 72 miles away from the Region capital, Biratnagar. It is approximately 325 km or 202 miles away from the country capital Kathmandu.",Karnali Pradesh,Jumla,Patarasi,Kanjiroba,Rs (NRs), (USD)
BOBA,BOBA,https://nepalhimalpeakprofile.org/bobaye-chuli,Bobaye Chuli,,29.959166666666665,81.0225,6808.0,22336.0,Opened,02/11/1996,Tomaz Humar,,Sudhurpashchim Pradesh,Darchula/Bajhang,Api Himal/Kanda,Byas,Spring 5000 (NRs),Spring 400 (USD)
BOKT,BOKT,https://nepalhimalpeakprofile.org/bokta,Bokta,Boktoh,27.620833333333334,88.00694444444444,6114.0,20059.0,Opened,09/04/1991,"Marko Prezel,Uros Rupar, ,Andrej Stremfelj, ","Bokta 6114m is situated in the Kanchenjunga Himalayan range in the Kanchenjunga area at Taplejung District, Nepal, Located eastern part of Nepal. The main attraction of Bokta peak is panoramic views of Himalayan peak like Kanchenjunga 8586m, Kumbhakarana 7711m and many more peaks. Bokta peak is 7.2km south of Phole peak and 11.9km west of Kabru Main peak. Bokta is surrounded by Yalung Glacier in the south and east, by Yamatari Dudh Pokhari Glacier in the north.",Province 1,Taplejung,Phaktanglung,Kanchenjunga,Sp 4000 (NRs),Sp 250 (USD)
BPSP,URMA,https://nepalhimalpeakprofile.org/baden-powell-scout-peak,Baden Powell Scout Peak,Urkema,28.1528,85.5125,5857.0,19216.0,Opened,,,"Baden Powell Scout Peak, formerly known as Urkema Peak is located on the boundary of Rasuwa and Sindhupalchok district of Nepal. Baden Powell Scout Peak is in Bagmati Province and lies in Jugal Range of Nepalese Himalaya. Ghanjala Chuli is 4.6kms north east of Baden Powell Scout Peak. Langtang village is 7kms north of Baden Powell Scout Peak.

As part of the Scouting 2007 Centenary, The Government of Nepal renamed Urkema Peak to Baden-Powell Scout Peak, to commemorate 100 years of Scouting in honour of British soldier Robert Baden-Powell, founder of the World Scouting movement.

The first ascent of Baden-Powell Peak was completed by an international team of Scout members, including members from Australia, Korea, Taiwan, Singapore, Taipei, Hong Kong, Malaysia and Nepal. The first person to reach the summit was Australian climber Mark Mangles at around 12 o’clock on the 12th of September 2007.",Bagmati Pradesh,Rasuwa/Sindhupalchok,Helambu/Gosai,Jugal,NRs 4000 in spring (NRs),USD 250 in spring (USD)
BTAK,BTAK,https://nepalhimalpeakprofile.org/bhairav-takura,Bhairab Takura,Madiya,28.197777777777777,85.80972222222222,6799.0,22306.0,Opened,07/05/1960,"Kunitoshi Ishihara,Yukihito,Pasang Phutar Sherpa","Bhairav Takura is on the boundary of Nepal and China, has an elevation of 6799m. Bhairav Takura lies in Jugal Mountain Range. Bhairav Takura is 890 meters east of Leonpo Gang, the highest peak of Jugal Mountain Range and 1040 meters South west of Leonpo Gang East.",Bagmati Pradesh,Sindhupalchok/NC,Jugal/NC,Jugal,NRs 5000 in spring season (NRs),USD 400 in spring season (USD)
BURK,BURK,https://nepalhimalpeakprofile.org/burke-khang,Burke Khang,,28.036944444444448,86.7739,6942.0,22785.0,Opened,,,"Burke Khang(“Khang” meaning mountain) located in Solukhumbhu region lies in between the borders of Tibet and Nepal and sits between Mount Everest and Cho Oyu, two of the highest mountains in the world.The name Burke is named after an oldest American climber Bill Burke. Bill Burke, an oldest American to summit Mt. Everest at the age of 72, is a retired corporate lawyer. After six attempts to Everest with two summits from either side, Nepal had become a second home to this retired lawyer. By then he had close relationship with many Sherpas and Ministry of Tourism. When Nepal opened 104 new mountains for climbing in 2014, they named one of the mountains after their western friend Burke, as a token of appreciation for contribution he has made in promoting mountain tourism in Nepal.",Province 1,Solukhumbu/NC,Khumbu Pasang Lhamu/BC,Mahalangur,Sp 5000 (NRs),Sp 400 (USD)
CBAM,CBAM,https://nepalhimalpeakprofile.org/chhopa-bamare,Chhopa Bamare,,28.057222222222222,86.09194444444444,6109.0,20042.0,Opened,,,"Chhopa Bamare, an unclimbed peak, has recently been added to the open peaks of Nepal by the Nepalese government. It lies northwest to Lamabagar of Dolakha District and is the border to Tibet, China and Nepal.",Bagmati Pradesh,Dolakha/NC,Bigu/NC,Rolwaling,Sp 4000 (NRs),Sp 250 (USD)
CHA3,CHA3,https://nepalhimalpeakprofile.org/chaw-west,Chaw Peak West,,27.9159,87.9194,6246.0,20492.0,Not open for expedition,,,Chaw West peak is in Janak Mountain Range of Nepal Mountain Range. Chaw West peak is on the boundary of Province I and China. Chaw West peak is on the boundary of Phaktanglung gaupalika in Taplejung District of Nepal. Chaw west is 2.8km west from Chaw peak. Chaw west is 3.2km east of Pabuk Khang and 4.5km north east of Suyaokhang peak.,Province 1,Taplejung/NC,Phaktanglung/NC,Janak,,
CHAB,CHAB,https://nepalhimalpeakprofile.org/chabuk,Chabuk,Tsajirip,27.88583333333333,87.9875,6960.0,22159.0,Opened,,,"Chabuk peak is located in Janak mountain range of Nepal Himalaya. Chabuk peak is on the boundary of Province I and China. Chabuk peak is on the boundary of Taplejung district of Nepal and China, it lies on the boundary of Phaktanglung gaupalika and China. Chabuk peak is 4.2km west of Kyabura peak and 2.6km east of Ohmi Khang peak. Chabuk is 2.5km north of Pandra peak.",,Taplejung/NC,Phaktanglung/NC,Kanchenjunga,Sp 5000 (NRs),Sp 400 (USD)
CHAG,CHAG,https://nepalhimalpeakprofile.org/chago,Chago,,27.926111111111112,87.05638888888889,6893.0,22615.0,Opened,29/05/1954,"Michael Ball,Urkien Sherpa",Chago located in Mahalangur range of the Nepalese Himalayas is situated in the Sankhuwasabha district of Province I of Nepal.,Province 1,Sankhuwasabha/NC,Makalu/NC,Mahalangur,Sp 5000 (NRs),Sp 400 (USD)
CHAK,CHAK,https://nepalhimalpeakprofile.org/chako,Chako,,28.88055555555556,84.28861111111111,6704.0,21994.0,Opened,24/07/2007,"Kazhisa Kamisaka,Akio Omura,Hari Bahadur Chaulagai,Ang Phuri Lama",Chako located in the Lugula Himal of Nepal is situated in the Manang district of Nepal.,Gandaki Pradesh,Manang/NC,Nar Phu/NC,Peri Himal,Sp 5000 (NRs),Sp 400 (USD)
CHAM,CHAM,https://nepalhimalpeakprofile.org/chamlang,Chamlang,,27.775277777777777,86.98222222222222,7319.0,24012.0,Opened,31/05/1962,"So Anma,Pasang Phutar Sherpa, ","Chamlang, lying in the Makalu region (Hongu valley, southwest of Makalu) is one of the beautiful mountains of Nepal. Chamlang is a steep forward mountain requiring good physical fitness and technicality. A Stunning panaromic view of the 5 of the world 8 thousand peaks and other small peaks could be viewed from Chamlang. The peaks include: Everest, Kanchenjunga, Makalu, Cho-Oyu, Lhotse, Ama Dablam, Barun Tse, Pumori, Kangtega, Nuptse and many more marvelous peaks.",Province 1,Solukhumbu/Sankhuwasabha,Makalu/Mahakulung,Mahalangur,Sp 6000 (NRs),Sp 500 (USD)
CHAN,RAMC,https://nepalhimalpeakprofile.org/chang-himal,Chang Himal,"Wedge Peak,Ramtang Himal",27.76527777777778,88.08611111111111,6750.0,22316.0,Opened,05/10/1974,"Janej Gradisar,Bjan Pollak,Michael Smolej",,Province 1,Taplejung,Phaktanglung,Kanchenjunga,Spring 5000 (NRs),Spring 400 (USD)
CHAP,CHAW,https://nepalhimalpeakprofile.org/chaw-peak,Chaw Peak,,27.90972222222222,87.94416666666667,6404.0,20981.0,Opened,,,Chaw peak is in Janak Mountain Range of Nepal Mountain Range. Chaw peak is on the boundary of Province I and China. Chaw peak is on the boundary of Phaktanglung gaupalika in Taplejung District of Nepal. This is a boundary peak. Chaw peak is 5.9km east of Pabuk Khang on the boundary ridge of Nepal and China. Chaw peak is 2.8km north west of Ohmi Khang and 6km north east of Suyaokhang peak.,Province 1,Taplejung/NC,Phaktanglung/NC,Janak,NRs 4000 in spring season (NRs),USD 250 in spring season (USD)
CHBL,CHBL,https://nepalhimalpeakprofile.org/chanabolo,Chanabolo,,29.1808,83.6098,5897.0,19347.0,Proposed to open,,,,Karnali Pradesh,Dolpa/NC,Chharka Tongsong/NC,Gautam,Spring 4000 (NRs),Spring 250 (USD)
CHDE,CHDE,https://nepalhimalpeakprofile.org/changdi-east,Changdi East,,29.7216,82.8186,6328.0,20761.0,Proposed to open,,,,Karnali Pradesh,Mugu/NC,Mugu Makarmarong/NC,Kanti,Spring 4000 (NRs),Spring 250 (USD)
CHEK,CHEK,https://nepalhimalpeakprofile.org/cheki-go,Cheki Go,Chekijo,27.906388888888888,86.41361111111112,6121.0,20499.0,Opened,15/05/2023,"Bruce Normand (United Kingdom),Oliver Von Rotz  (Switzerland)",Cheki Go is in the Rolwaling Himal mountain range of Nepal Himalayas. Cheki Go is an open mountain peak for expedition. Cheki Go is on the boundary of Dolakha and China. Cheki Go is on the boundary of Bagmati Province and China. Cheki Go is on the boundary of Gaurishankar gaupalika and China. Cheki Go is 1.9km west of Bamon Go and 3.0km south east of Bedding Go on the boundary ridge of Nepal and China. Nagaun is 2.6km south and Beding is 3.7km west of Cheki Go.,Bagmati Pradesh,Dolakha/NC,Gaurishankar/NC,Gaurishankar,Spring 4000 (NRs),Spring 250 (USD)
CHEO,CHEO,https://nepalhimalpeakprofile.org/cheo-himal,Cheo Himal,,28.764722222222225,84.45416666666667,6820.0,22375.0,Opened,13/10/1991,"Dambar Bahadur Gurung,Shigeki Imoto,Ful Bahadur Rai,Pasang Tshering Sherpa",Cheo Himal is located in the north-northwest of Manaslu.,Gandaki Pradesh,Manang/NC,Nashong/NC,Peri,Rs (NRs), (USD)
CHFW,CHFW,https://nepalhimalpeakprofile.org/chaw-far-west,Chaw Far West,,27.9109,87.9018,6290.0,20636.0,Proposed to open,,,Chaw Far West peak is in Janak Mountain Range. Chaw Far West peak is on the boundary of Province I and China. Chaw Far West peak is on the boundary of Taplejung district and China. Chaw Far West peak is 1.2 km east of Pabuk Khang. Chaw Far West peak is 3.2 km north of Suyaokhang and 4.7 km west of Chaw peak.,Province 1,Taplejung/NC,Phaktanglung/NC,Janak,Spring 4000 (NRs),Spring 250 (USD)
CHGD,CHNG,https://nepalhimalpeakprofile.org/changdi,Changdi,,29.719166666666663,82.79861111111111,6623.0,21729.0,Opened,,,Changdi peak located in Mugu District of Mid-Western Nepal is a part of Kanti sub range of the Nepalese Himalayas.,Karnali Pradesh,Mugu,Mugu Makarmarong/NC,Palchung,Spring 5000 (NRs),Spring 400 (USD)
CHGL,CHAN,https://nepalhimalpeakprofile.org/changla,Changla,,30.30305555555556,82.12888888888888,6563.0,21532.0,Opened,27/09/2010,"Hirofumi Kobayashi,Seiya Nakasukasa,Yuta Shibayama,Naoki Yamaguchi","Changla with the summit elevation of 6563 meters is the sub range of Nepalese Himalayas located on the international border or Nepal and Tibet, China. It is on the watershed between Humla Karnali to the west and Yarlung Tsangpo in the East. The Tibetan side is glaciated, and the western side has the rural Humla District of Nepal. It is the highest peak in the Humla region. The summit to this peak gives you a fantastic and unforgettable experience of the beautiful peaks and amazing landscapes.",Karnali Pradesh,Humla/NC,Kharpunath/NC,Changla,Rs (NRs), (USD)
CHH1,CHH1,https://nepalhimalpeakprofile.org/chhuama-peak-i,Chhuama Peak I,,29.3106,83.8634,6366.0,20886.0,Proposed to open,,,,Gandaki Pradesh,Mustang/NC,Lomanthang/NC,Mustang Himal,Spring 4000 (NRs),Spring 250 (USD)
CHH2,CHH2,https://nepalhimalpeakprofile.org/chhuama-peak-ii,Chhuama Peak II,,29.3121,83.8725,6325.0,20751.0,Proposed to open,,,,Gandaki Pradesh,Mustang/NC,Lomanthang/NC,Mustang Himal,Spring 4000 (NRs),Spring 250 (USD)
CHH3,CHH3,https://nepalhimalpeakprofile.org/chhuama-peak-iii,Chhuama Peak III,,29.2973,83.8498,6262.0,20544.0,Proposed to open,,,,Gandaki Pradesh,Mustang/NC,Lomanthang/NC,Mustang Himal,Spring 4000 (NRs),Spring 250 (USD)
CHH4,CHH4,https://nepalhimalpeakprofile.org/chhuama-peak-iv,Chhuama Peak IV,,29.301,83.856,6179.0,20272.0,Proposed to open,07/10/2023,"Tomatsu Ohnishi,Koji Mizutani,Takehiko Yanagihara,Katsuhiko Asahi,Mingma Nuru Sherpa,Chuldin Nuru Sherpa,Kancha Dawa Sherpa",,Gandaki Pradesh,Mustang/NC,Lomanthang/NC,Mustang Himal,Sp 4000 (NRs),Sp 250 (USD)
CHIB,CHIV,https://nepalhimalpeakprofile.org/chhib-himal,Chhib Himal,"Chhiv,chhibh",28.87333333333333,84.16222222222223,6581.0,21817.0,Opened,18/09/2004,"Takeshi Wada,Mitsuhiro Koseki,Yubo Shibata,Takeo Yoshinaga",,Gandaki Pradesh,Mustang/Manang,Dalome/Nar,Damodar,Spring 5000 (NRs),Spring 400 (USD)
CHKA,CHKA,,Chamar Kang,"Chharka,Kangtega",29.23552,83.36115,,,,,,,,,,,,
CHKH,CHKH,https://nepalhimalpeakprofile.org/changla-khang,Changla Khang,,30.153765309,82.2074,6581.0,21591.0,Proposed to open,,,,Karnali Pradesh,Humla/NC,Kharpunath/NC,Changla,Spring 5000 (NRs),Spring 400 (USD)
