PEAKID,PKNAME,PKNAME2,LOCATION,HEIGHTM,HEIGHTF,HIMAL,REGION,OPEN,UNLISTED,TREKKING,TREKYEAR,RESTRICT,PHOST,PSTATUS,PEAKMEMO,PYEAR,PSEASON,PEXPID,PSMTDATE,PCOUNTRY,PSUMMITERS,PSMTNOTE,REFERMEMO,PHOTOMEMO
BARU,Baruntse,,Khumbu Himal (W of Makalu),7152,23465,12,2,True,False,False,,,1,2,"Other map altitudes:
   7152m - HMG-MT, HMG-Finn, Nepa
   7168m - NGS/Washburn Everest, Kielkowski
   7220m - Shangri La, Schneider, Japan MMW",1954,1,BARU54101,May 29,New Zealand,"Colin Todd, Geoff Harrow",,,"NE Side (High 138:6 May 1994)
W Side of N Smt (High 144:37 Nov 1994)
N Ridge (AAJ 63:193 1989)
SE Ridge (AAJ 59:71 1985) 
NW Side (AAJ 58:232 1984) (Dutch 1983 route)"
BAUD,Baudha,,Mansiri Himal (SE of Manaslu and Himalchuli),6672,21890,15,4,True,False,False,,,1,2,"Other map altitudes:
   6672m - HMG-MT, HMG-Finn, Nepa, Shangri La, Japan MMW",1970,1,BAUD70101,May 02,Japan,"Yoshiyuki Kobayashi, Kiyoyasu Shibata",,,
BHEM,Bhemdang Ri,Morimoto,Jugal Himal (SE of Shalbachum),6150,20177,13,3,True,False,False,,,1,2,"Other map altitudes:
   5951m - Nepa, Schneider
   6150m - HMG-MT, HMG-Finn
   6750m - Shangri La, Japan MMW",1964,1,BHEM64101,May 10,"Japan, Nepal","Tetsuya Kondo, Soshiro Sasaki, Mingma Tshering Sherpa",,,
BHRI,Bhrikuti,Damodar Himal,Damodar Himal (NE of Thorong La near Tibetan border),6476,21247,3,5,True,False,False,,Opened in 2014,1,2,"Other map altitudes:
   6476m - HMG-MT, HMG-Finn, Nepa

There are three peaks of 6476m, 6460m and 6328m and another peak to the west of 6425m (now called Futi Himal) in this range. It is not clear which of these peaks (if any) the early Bhrikuti teams attempted.

The Ministry also lists Kesang Khang (UAAA Peak) at 6476m which may be in the Bhrikuti range (but the coordinates given are located outside of Nepal). ",1982,1,BHRI82101,May 18,"Japan, Nepal","Takashi Sakuma, Masanobu Tsuchiya, Tashi Jangbu Sherpa",1-3rd ascents claimed,History 1982-1998 (High 198:42 May 1999)   ,
BOBA,Bobaye,,Api Himal (S of Nampa),6808,22336,2,7,True,False,False,,,1,2,"Other map altitudes:
   6808m - HMG-MT, HMG-Finn, Nepa, Japan MMW, Leomann",1996,3,BOBA96301,Nov 02,Slovenia,Tomaz Humar,,,"W Face (High 175:83 Jun 1997)
NW Face (AAJ 71:18 1997) (Slovene 1996 route)

Api-Nampa-Saipal Map (Ghiglione, pg 160)"
CHAM,Chamlang,,"Khumbu Himal (in Hongku Valley, SW of Makalu)",7321,24019,12,2,True,False,False,,,1,2,"Other map altitudes:
   7317m - Japan MMW
   7319m - Shangri La, Kielkowski
   7321m - HMG-MT, HMG-Finn, Nepa",1962,1,CHAM62101,May 31,"Japan, Nepal","So Anma, Pasang Phutar Sherpa (I)",,,"NW Face/W Ridge (MM 138:10 Mar 1991)
E Smt (MM 99:27 Sep 1984)
NW Face/N Ridge (AAJ 65:218 1991)
NW Side (AAJ 59:75 1985) "
CHAN,Changla,Changla Himal,Changla Himal (N of Jumla on Tibetan border),6563,21532,17,7,True,False,False,,,4,2,"Other map altitudes:
   6563m - HMG-MT, HMG-Finn, Nepa",2010,3,CHAN10301,Sep 27,Japan,"Hirofumi Kobayashi, Seiya Nakasukasa, Yuta Shibayama, Naoki Yamaguchi",Climbed illegally by Sean Burch in October 2016?,,
CHMN,Chamar North,Peak 23,Shringi Himal,7165,23507,5,4,True,False,False,,Opened in 2014,1,2,"Other map altitudes:
   7165m - HMG-MT, HMG-Finn, Nepa
   7177m - Japan MMW
   7187m - Shangri-La",1953,1,CHMN53101,Jun 05,"New Zealand, Nepal","Maurice Bishop, Nyamgel Sherpa",,,
CHEO,Cheo Himal,,Peri Himal (ESE of Himlung Himal on Tibetan border),6820,22375,18,5,True,False,False,,,4,2,"Other map altitudes:
   6812m - Japan MMW
   6820m - HMG-MT, HMG-Finn, Nepa, Leomann",1991,3,CHEO91301,Oct 13,"Japan, Nepal","Dambar Bahadur Gurung, Shigeki Imoto, Ful Bahadur Rai, Pasang Tshering Sherpa",,,N Side (AAJ 67:227 1993) (??)
CHOY,Cho Oyu,,Khumbu Himal (NW of Everest on Tibetan border),8188,26864,12,2,True,False,False,,,4,2,"Other map altitudes:
   8153m - Shangri La, Schneider, Japan MMW
   8188m - HMG-MT, HMG-Finn, Nepa
   8201m - Kielkowski

Altitude milestones on Cho Oyu:

   7500-7800m - Yellow Band
   8100m - Summit plateau",1954,3,CHOY54301,Oct 19,"Austria, Nepal","Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama",,Dyhrenfurth history 1950-1978 (MM 60:40-42 Mar 1978),"NNE Ridge (High 175:87 Jun 1997)
N Side (High 175:87 Jun 1997)
SW Face (MM 137:8 Jan 1991)
N Face (MM 126:13 Mar 1989)
SW Face (AAJ 65:15 1991) (Polish 1990 routes)
N Face (AAJ 63:280-281 1989) (Yugoslav 1988 route)
SE Face (AAJ 60:6-8 1986) (various routes)"
CHOB,Chobuje,"Chobutse, Tsoboje",Rolwaling Himal (NE of Tsho Rolpa),6686,21936,19,2,True,False,False,,,1,2,"Other map altitudes:
   6686m - HMG-MT, HMG-Finn, Nepa
   6689m - Shangri La, Schneider, Japan MMW",1972,1,CHOB72101,Apr 24,W Germany,"Wolfgang Weinzierl, Peter Vogler, Gustav Harder, Klaus Harder",Illegal ascent,,
CHOL,Cholatse,"Tsolatse, Jobo Lhaptshan",Khumbu Himal (N of Tawoche),6423,21073,12,2,False,False,True,2002,Converted to trekking peak in 2002,1,2,"Other map altitudes:
   6423m - HMG-MT, HMG-Finn, Nepa
   6440m - Shangri La, Schneider, Japan MMW, Kielkowski

Note: many local Nepal maps incorrectly label the NW summit of Tawoche as Cholatse and label the true Cholatse as Arakam Tse. This is a result of naming errors on the original HMG-Finn map.",1982,1,CHOL82101,Apr 22,"USA, UK","John Roskelley, Galen Rowell, Vern Clevenger, Bill O'Connor",,,"N Face (High 138:8 May 1994)
W Side (High 138:9 May 1994)
SW Ridge (MM 85:11 Jun 1982) (from air)
N Face (AAJ 70:282 1996) (French 1995 route)
W Side (AAJ 68:219 1994)
N Face (AAJ 59:271 1985) (USA 1984 route)"
CHOP,Cho Polu,,"Khumbu Himal (S of Shartse, N of Baruntse)",6700,21982,12,2,True,False,False,,,1,2,"Other map altitudes:
   6695m - NGS/Washburn Everest
   6700m - HMG-MT, HMG-Finn, Kielkowski
   6734m - Shangri La, Schneider, Japan MMW",1984,3,CHOP84301,Nov,Spain,Nil Bohigas Martorell,"1st official ascent Nov 12, 1999 by Markus Walter, Guenter Jung, Olaf Rieck and Dieter Ruelker (Germans)",,N Ridge/Face (High 212:61 Jul 2000)  
CHUL,Chulu Central,Chulu East,Damodar Himal (E of Thorong La),6584,21601,3,5,False,False,True,1978,,1,2,"Other map altitudes:
   6200m - Leomann
   6584m - HMG-MT, HMG-Finn, Nepa, Schneider

This peak is known as Chulu East on some older maps and on the NMA trekking peak list. Newer maps show Chulu East as a 6429m subpeak southeast of Chulu Central.",1955,1,CHUL55201,Jul 23,W Germany,"Heinz Steinmetz, Harald Biller, Fritz Lobbichler, Juergen Wellenkamp",,,
CHUG,Chukyima Go,Chugimago,Rolwaling Himal (WSW of Tesi Laptsa),6258,20531,19,2,True,False,False,,Opened in 2014,1,2,"Other map altitudes:
   6258m - HMG-MT, HMG-Finn, Nepa
   6259m - Schneider, Japan MMW",2014,3,CHUG14301,Nov 12,Slovenia,"Domen Kastelic, Sam Hennessey","Originally thought that 1952 Scottish expedition climbed this peak, but likely Peak 5794m instead",,
CHUR,Churen Himal Central,,Dhaulagiri Himal (NW of Dhaulagiri VI),7385,24229,4,6,True,False,False,,One permit for Churen Himal's three summits,1,2,"Other map altitudes:
   7371m - HMG-MT, Nepa, Japan MMW, Leomann
   7385m - HMG-Finn",1970,3,CHUR70301,Oct 24,Japan,"Masayoshi Fukui, Kozo Hasegawa",,,W Face (High 175:92 Jun 1997)
CHUW,Chulu West,,Damodar Himal (E of Thorong La),6419,21060,3,5,False,False,True,1978,,1,2,"Other map altitudes:
   6220m - Leomann
   6419m - HMG-MT, HMG-Finn, Nepa, Schneider",1952,3,CHUW52301,Oct 23,Japan,"Kinji Imanishi, Kazuhiko Hayashi, Sasuke Nakao, Jiro Taguchi, Masataka Takagi, Sakuta Takebushi",,,
TAPL,Taple Shikhar,Cross Peak,Kangchenjunga Himal (W of Nepal Peak),6447,21152,9,1,True,False,False,,Opened in 2002,1,2,"Other map altitudes:
   6447m - HMG-MT, HMG-Finn
   6510m - Japan MMW",1998,3,TAPL98301,Oct 08,"Japan, Nepal","Misako Miyazawa, Gumba Sherpa, Kancha Sunwar Sherpa, Pemba Lama Sherpa",,,NW Side (High 198:43 May 1999)
CTSE,Changtse,Everest North Peak,North of Everest (in Tibet),7583,24879,12,2,False,True,False,,Peak entirely within China,2,2,"Other map altitudes:
   7541m - Japan MMW
   7543m - Kielkowski
   7550m - Schneider
   7553m - Nepa
   7583m - NGS/Washburn Everest
   ",1982,1,CTSE82301,Oct 14,W Germany,Udo Zehetleitner,,,
DHA1,Dhaulagiri I,,Dhaulagiri Himal,8167,26795,4,6,True,False,False,,,1,2,"Other map altitudes:
   8167m - HMG-MT, HMG-Finn, Nepa, Japan MMW, Leomann",1960,1,DHA160101,May 13,"Switzerland, Austria, W Germany, Nepal","Peter Diener, Kurt Diemberger, Albin Schelbert, Ernst Forrer, Nima Dorje Sherpa, Nawang Dorje Sherpa",,Dyhrenfurth history 1952-1978 (MM 63:32-36 Sep 1978),"E Face (MM 74:13 Jul 1980, High 175:91 Jun 1997)
All sides (High 179:30-32 Oct 1997) 
W Face (MM 102:14 Mar 1985, High 188:25 Jul 1998) 
E/N Faces (High 188:25 Jul 1998)
S Face (AAJ 74:12 2000) (Humar 1999, et al routes)
W Face (AAJ 66:225 1992) (various routes)
W Face/SW Pillar (AAJ 60:248 1986)
S Face (AAJ 56:237 1982) (Yugoslav 1981 ascent route)
NE Ridge (AAJ 56:239 1982) (Yugoslav 1981 descent route)"
DHA2,Dhaulagiri II,,Dhaulagiri Himal (NW of Dhaulagiri I),7751,25430,4,6,True,False,False,,,1,2,"Other map altitudes:
   7751m - HMG-HMT, HMG-Finn, Nepa, Japan MMW, Leomann",1971,1,DHA271101,May 18,"Austria, USA, Nepal","Adolf Huber, Ronald Fear, Adi Weissensteiner, Jangbu Sherpa",,,
DHA3,Dhaulagiri III,"Nalu, Naula",Dhaulagiri Himal (SW of Dhaulagiri II),7715,25312,4,6,True,False,False,,,1,2,"Other map altitudes:
   7715m - HMG-MT, HMG-Finn, Nepa, Japan MMW, Leomann",1973,3,DHA373301,Oct 20,W Germany,"Klaus Schreckenbach, Gerhard Haberl, Hans Saler",,,
DHA4,Dhaulagiri IV,,Dhaulagiri Himal (W of Dhaulagiri V),7661,25135,4,6,True,False,False,,,1,2,"Other map altitudes:
   7661m - HMG-MT, HMG-Finn, Nepa, Japan MMW, Leomann",1975,1,DHA475101,May 09,Japan,"Shiro Kawazu, Etsuro Yasuda",1st ascent claimed (summmiters died in fall on descent),,
DHA5,Dhaulagiri V,,Dhaulagiri Himal (SW of Dhaulagiri III),7618,24993,4,6,True,False,False,,,1,2,"Other map altitudes:
   7618m - HMG-MT, HMG-Finn, Nepa, Japan MMW, Leomann",1975,1,DHA575101,May 01,"Japan, Nepal","Masaaki Morioka, Pemba Tsering Sherpa",,,
DHA6,Dhaulagiri VI,,Dhaulagiri Himal (WSW of Dhaulagiri IV),7268,23845,4,6,True,False,False,,,1,2,"Other map altitudes:
   7268m - HMG-MT, HMG-Finn, Nepa, Japan MMW, Leomann",1970,1,DHA670101,Apr 17,Japan,"Shiro Kawazu, Shoichi Kimura, Hisazumi Nakamura, Seijiro Yamamura",,,
DHAM,Dhampus,"Thapa Peak, Marpha Peak",Mukut Himal (NE of Dhaulagiri I and Tukuche),6012,19724,16,6,True,False,False,,,1,2,"Other map altitudes:
   6012m - HMG-MT, HMG-Finn, Schneider, Nepa, Japan MMW, Leomann

The Japanese MMW map shows Thapa Peak (Dhampus Peak) as a pair of summits, the eastern summit as 6012m and the western summit as 6035m. The HMG-Finn map shows only one extended summit of 6012m.",1960,1,DHAM60101,Apr,Austria,Kurt Diemberger,Dhampus has two summits (the western summit is called Thapa),,
DOGA,Dogari,,Dhaulagiri Himal (WNW of Putha Hiunchuli),6536,21444,4,6,True,False,False,,Opened in 2003,1,1,"Other map altitudes:
   6535m - Leomann
   6536m - HMG-MT, HMG-Finn, Japan MMW",,0,,,,Unclimbed,,,
PEMK,Pemthang Karpo Ri,"Dome Blanc, Kan Karmo",Jugal Himal (NNW of Dorje Lhakpa on Tibetan border),6865,22523,8,3,True,False,False,,Opened in 2014,4,2,"Other map altitudes:
   6830m - Japan MMW
   6865m - HMG-MT, HMG-Finn, Nepa

Confusion on older maps as to whether Pemthang Karpo Ri was an interior peak near Morimoto peak or the higher Pemthang Karpo Ri/Dome Blanc on the Tibetan border.",1955,1,PEMK55101,May 14,"Switzerland, Nepal","Raymond Lambert, Ang Norbu Sherpa, Kami Tshering Sherpa, Pasang Sherpa, Pemba Gyaltzen Sherpa",,,
DORJ,Dorje Lhakpa,,Jugal Himal (near Tibetan border),6966,22854,8,3,True,False,False,,,1,2,"Other map altitudes:
   6966m - HMG-MT, HMG-Finn, Nepa
   6973m - Austria Alpenvereins
   6990m - Japan MMW",1981,3,DORJ81301,Oct 18,"Japan, Nepal","Kunio Kataoka, Makoto Anbe, Kazunari Murakami, Eiichi Shingyoji, Pemba Tsering Sherpa",Rumored that two British climbers summited via the W Ridge in 1979 (Dick Isherwood and Geoff Cohen),,"W Ridge (AAJ 61:243 1987, 67:20 1993)
W Face (AAJ 67:22 1993)"
DRAN,Drangnag Ri,Thaknak Ri,Rolwaling Himal (N of Tesi Laptsa near Tibetan border),6757,22169,19,2,True,False,False,,,1,2,"Other map altitudes:
   6757m - HMG-MT, HMG-Finn
   6801m - Nepa, Shangri La, Schneider, Japan MMW",1995,1,DRAN95101,Apr 30,"Norway, UK, Nepal","Chris Bonington, Ralph Hoibakk, Bjorn Myrer-Lund, Lhakpa Gyalu Sherpa, Pema Dorje Sherpa",,,"NE Face (High 155:18 Oct 1995)
S Side (AAJ 70:280 1996) "
DROM,Drohmo,"Domo, Longridge Peak",Jongsang Himal (NNW of Kangchenjunga),6881,22575,7,1,True,False,False,,Opened in 1997,1,1,"Other map altitudes:
   6850m - Japan MMW
   6881m - HMG-MT, HMG-Finn, Nepa
   6950m - Shangri La
   6970m - Kielkowski",,0,,,,Main summit unclimbed,,,"W Face (High 193:22 Dec 1998)
S Face (High 198:45 May 1999)
S Face (AAJ 73:120 1999) "
EVER,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,29032,12,2,True,False,False,,,4,2,"Other map altitudes:
   8850m - National Geographic Society/Brad Washburn (1999)
   8848m - HMG-MT, HMG-Finn, Nepa, Shangri La, Schneider, Japan MMW
   8844m - Chinese Gov't

Everest was resurveyed in November 1999 and the altitude was changed from 8848m to 8850m.

Altitude milestones on Everest:
  Normal south side BC - 5300-5400m
  Normal C1 - 5900-6100m
  Normal C2 - 6400-6500m
  Btm of Lhotse Face - 6800m
  Normal C3 - 7100-7300m
  Yellow Band - 7500-7600mm
  South Col (Normal C4) - 7900-7950m
  Balcony - 8400m
  S Summit - 8750m
  Hillary Step - 8760m (12m)

  Normal north side BC - 5200m
  Intermediate (Yak) Camp - 5800m 
  Normal ABC - 6400-6500m
  North Col Wall (base) - 6700m
  North Col - 7000m
  1st Step - 8450-8500m
  Green Boots Cave - 8530m
  Mushroom Rock - 8550m
  Yellow Band - 8600m
  2nd Step - 8570-8680m
  3rd Step - 8690-8700m
",1953,1,EVER53101,May 29,"New Zealand, India","Edmund Hillary, Tenzing Norgay Sherpa",,Dyhrenfurth history 1921-1980 (MM 76:30-39 Nov 1980),"NE Ridge, N Ridge, N Face (High 167:70 Oct 1996)
NE Ridge from Rongphu Glacier (High 167:71 Oct 1996)
NE Side (High 205:67 Dec 1999)
SE Ridge from Lhotse (High 198:36 May 1999)
W Side from Pumori (High 226:60 Sep 2001)
E Face (MM 124:FrntCvr,25 Nov 1988)
ENE Ridge (MM 86:9 Jul 1982)
SW Face (MM 47:19 Jan 1976) (with 1969-75 expedition routes)
N Face (AAJ 71:23 1997) (Kammerlander ski route)
E Face (AAJ 63:5-7 1989)"
FANG,Fang,"Varaha Shikhar, Varaha Chuli, Finger",Annapurna Himal (SW of Annapurna I),7647,25089,1,5,True,False,False,,,1,2,"Other map altitudes:
   7647m - HMG-MT, HMG-Finn, Nepa, Shangri La, Schneider, Japan MMW, Leomann

",1980,1,FANG80101,May 17,"Austria, Nepal","Sepp Mayerl, Hermann Neumair, Ang Chepal Sherpa",,,
FIRN,Firnkopf,"Phirankoph, Firnkopf East",hSaipal Himal (W of Saipal),6730,22080,20,7,True,False,False,,,1,1,"Other map altitudes:
   6730m - MMG-MT, HMG-Finn
   6736m - Nepa, Japan MMW, Leomann",,0,,,,Unclimbed,,,
FIRW,Firnkopf West,Phirankoph West,Saipal Himal (WSW of Firnkopf),6745,22129,20,7,True,False,False,,,1,2,"Other map altitudes:
   6625m - Leomann
   6684m - Japan MMW
   6745m - HMG-MT, HMG-Finn",1987,3,FIRW87301,Oct 25,"Austria, W Germany, Nepal","Franz Kroell, Fritz Mross, Ang Chopal Sherpa",Austrian Saipal expedition of 1954 may have reached Firnkopf West,,
GAMA,Gama Peak,,"Dhaulagiri Himal (N of Dhaulagiri VI, S of Junction Peak)",7187,23579,4,6,False,True,False,,,1,2,"Other map altitudes:
   7187m - HMG-Finn",1970,3,GAMA70301,Oct 25,Japan,"Goro Nabeyama, Katsuhiro Nakashima",,,
GAN1,Ganesh I,Yangra Kangri,Ganesh Himal (on Tibetan border),7422,24350,5,4,True,False,False,,,4,2,"Other map altitudes:
   7406m - Japan MMW
   7422m - HMG-MT, HMG-Finn
   7429m - Nepa",1955,3,GAN155301,Oct 24,"Switzerland, France","Raymond Lambert, Eric Gauchat, Claude Kogan",,"High 226:64 Sep 2001
","Ganesh group from south (High 226:64 Sep 2001) 
SE Face (High 226:64 Sep 2001)
Ganesh group map - line drawing (High 226:65 Sep 2001)"
GAN3,Ganesh III,"Salasungo, Kang Lombo, Lopsang Karbo",Ganesh Himal (S of Ganesh I on Tibetan border),7043,23107,5,4,True,False,False,,,4,2,"Other map altitudes:
   7043m - HMG-Finn, HMG-Finn
   7110m - Nepa
   7150m - Japan MMW

This mountain was previously known as Ganesh II until resurveyed in early 1990s",1979,3,GAN379301,Oct 19,"Japan, Nepal","Hideo Ogura, Pemba Tshering Sherpa, Dawa Norbu Sherpa",Note: This mountain previously known as Ganesh II till re-surveyed in early 1990's.,,
GAN2,Ganesh II,,Ganesh Himal (WSW of Ganesh I),7118,23353,5,4,True,False,False,,,1,2,"Other map altitudes:
   7118m - HMG-MT, HMG-Finn, Nepa
   7130m - Japan MMW

This mountain was previously known as Ganesh III until resurveyed in early 1990s",1981,3,GAN281302,Oct 16,"W Germany, Nepal","Hermann Warth, Ang Chepal Sherpa, Nga Temba Sherpa, Nima Tenzing Sherpa",Note: This mountain previously known as Ganesh III till re-surveyed in early 1990's.,,"NE Side (AAJ 56:222 1982)
NE Spur (AAJ 56:224 1982)"
GAN4,Ganesh IV,Pabil,Ganesh Himal (SW of Ganesh I),7104,23307,5,4,True,False,False,,,1,2,"Other map altitudes:
   7052m - Nepa
   7102m - Japan MMW
   7104m - HMG-MT, HMG-Finn",1978,3,GAN478301,Oct 20,"Japan, Nepal","T Tomita, H Yoshio, K Aoyagi, M Hashimoto, Y Hashimoto, Y Okuma, T Shimoji, T Suzuki, I Yasuda, Yogendra Thapa, Kamal Bhandari, Mingma Tenzing Sherpa, Sonan Wolang Sherpa",,,
GAN5,Ganesh V,,Ganesh Himal (SE of Ganesh I on Tibetan border),6770,22211,5,4,True,False,False,,,4,2,"Other map altitudes:
   6770m - HMG-MT, HMG-Finn
   6950m - Japan MMW 
   6986m - Nepa",1980,1,GAN580101,Apr 21,"Japan, Nepal","Tatsumi Sasaki, Akihiko Komori, Lhakpa Dorje Sherpa, Nima Tenzing Sherpa, Nima Nuru Sherpa",,,
GAN6,Ganesh VI,,Ganesh Himal (subpeak SE of Ganesh II),6908,22664,5,4,True,False,False,,Opened in 2002,1,2,"Other map altitudes:
   6908m - HMG-MT, HMG-Finn, Nepa (peak SE of Ganesh II)

Confusion as to whether Ganesh VI is the same as Lampu Peak north of Ganesh I on the Tibetan border or a subpeak southeast of Ganesh II. Ministry of Tourism claims subpeak of Ganesh II; other older maps claim Lampu Peak.

   6460m - Japan MMW (Lampu on Tibetan border)
   6480m - Nepa (Lampu on Tibetan border)
   6648m - HMG-Finn (Lampu on Tibetan border)",2000,1,GAN600101,May 23,Japan,"Osamu Tanabe, Yasuhiro Hanatani",Possibly climbed in 1981 by Japanese Ganesh II team led by Hiroyashu Shirakabe,,
GANC,Ganchenpo,"Fluted Peak, Ganchempo",Jugal Himal (W of Dorje Lhakpa and Urkinmang),6378,20925,8,3,True,False,False,,,1,2,"Other map altitudes:
   6378m - HMG-MT, HMG-Finn
   6387m - Nepa, Shangri La, Schneider, Austria Alpenvereins, Japan MMW",1971,3,GANC71302,OctNov,USA,"Terry Bech, Cheri Bech",,,"NW Face (High 130:4 Sep 1993, 138:11 May 1994)"
