ID,URL,NAME,ALTERNATE_NAMES,LAT,LON,ELEVATION_M,ELEVATION_FT,STATUS,FIRST_ASCENT_ON,FIRST_ASCENT_BY,DESCRIPTION,PROVINCE,DISTRICT,MUNICIPALITY,RANGE,NEPALESE_FEES,FOREIGNER_FEES
DHA1,https://nepalhimalpeakprofile.org/dhaulagiri-i,Dhaulagiri I,,28.696666666666665,83.495,8167.0,26794.0,Opened,13/05/1960,"Peter Diener,Kurt Diemberger,Albin Schelbert,Ernst Forrer,Nima Dorje Sherpa,Nawang Dorje Sherpa","Dhaulagiri I is located in the Dhaulagiri mountain range of Nepal Himalayas.
Dhaulagiri I is known as the White Mountain is the seventh highest peak in the
world. This peak is very popular among the eight-thousanders for expeditions.
It lies northwest of Pokhara, an important tourist center. When Dhaulagiri I was
discovered in 1808, it was thought to be the highest mountain peak in the
world. It remained as the highest peak for 30 years, then Kanchenjungha took
its place. Dhaulagiri I is on border of Dhaulagiri and Raghuganga rural
municipality of Myagdi District. It is located in Gandaki Province of Nepal.
Dhaulagiri I is 6.7 km north northeast of Manapathi and 8.4 km south
southwest of Tukuche peak. Sita Chuchura is 9.6 km north and Dhaulagiri II is
12.5 km north northwest from Dhaulagiri I.",Gandaki Pradesh,Myagdi,Dhawalgiri/Raghuganga,Dhaulagiri,Sp 10000 (NRs),Sp 1800 (USD)
MANA,https://nepalhimalpeakprofile.org/manaslu,Manaslu,"Kampunge,Kutang I,Peak 30",28.55027777777778,84.56166666666667,8163.0,26781.0,Opened,09/05/1956,"Toshio Imanishi,Gyaltsen Norbu Sherpa","Mount Manaslu, also known as Kampunge is the eighth highest mountain in
the world. It is located in the west-central part of Nepal. Manaslu in Sanskrit
means “manasa” meaning “Intellect” or “soul”.
The peak elevates to a height of 8,163 m. Manaslu lies in Thoche, Dharapani
and Samagaun Village Development Committee of Manang and Gorkha
Districts in the Western Development Region of Nepal. It is open for
expeditions. It takes approximately 65 days to climb Manaslu Peak. A drive to
Dhadingbesi or a drive to Gorkha are the two entry points for Manaslu Peak.
Toshio Imanishi and Gyaltsen Norbu Sherpa were the first to successfully
ascend this peak on 9 May 1956.
Caravan route: There are two caravan routes for Manaslu Peak. The first
begins from Gorkha to Khanchok to Deurali to Gumda to Jagat to Philim to
Bihi to Namrung to Samagaun and finally to the Base Camp. The other is from
Dhadingbesi to Arughat to Jagat to Philim to Bihi to Namrung to Samagaun
and finally to the Base Camp. The total distance of the caravan route through
Gorkha is 120.6 km and through Dhadingbesi is 120.1 km. The total climbing
route length is 12.2 km from the Base Camp.
The nearest settlement to the Manaslu peak is Samagaun at a distance of 1.9
km. The nearest police post from the peak is in Samagaun 1.9 km away. The
nearest Armed Police Force and army posts from the peak is in Dhadingbesi at
a distance of 120.1 km or Gorkha at 120.6 km. The nearest health post from the
peak is in Samagaun at a distance of 1.9 km.",Gandaki Pradesh,Manang/Gorkha,Nashong/Chum,Mansiri,Spring 10000 (NRs),Spring 1800 (USD)
ANN1,https://nepalhimalpeakprofile.org/annapurna-i,Annapurna I,,28.595555555555553,83.82249999999999,8091.0,26545.0,Opened,03/06/1950,"Maurice Herzog  (France),Louis Lachenal (France)","Mount Annapurna I is the tenth highest mountainin the world at 8,091 metres
(26,545 ft). It is in the Annapurna massif of Nepal Himalayas. Annapurna
massif includes many peaks over 7,000 metres. The massif is bounded by the
Kali Gandaki Gorgeto the west, the Marshyangdi Riverin the north and east,
and by Pokhara Valleyin the south. At the western end, the massif encloses a
high basin called the Annapurna Sanctuary.
In 1950, Maurice Herzogled a French expedition to its summit, making it the
first of the eight-thousandersto be successfully climbed. The Annapurna peaks
are among the world's most dangerous mountains to climb. The mountain is
named after Annapurna, the Hindu goddess of food and nourishment, who is
said to reside there. The name Annapurna is derived from the
Sanskritlanguage—purnameans filled and annameans food.
Annapurna I is located on the border of Myagdi and Kaski districts in Gandaki
province of Nepal. Annapurna I is 6.1 km west northwest of Singu Chuli.
Khangsar Khang West is 4.0 km east northeast and Varaha Shikhar is 2.7 km
south southwest of Annapurna I.",Gandaki Pradesh,Myagdi/Kaski,Annapurna/Annapurna,Annapurna,Spring 10000 (NRs),Spring 1800 (USD)
YALW,https://nepalhimalpeakprofile.org/yalung-khang-west,Yalung Khang West,,27.70611111111111,88.12555555555555,8077.0,26499.0,Opened,,,"Mount YalungKhang West is situated in the Kanchenjunga mountain range of
Nepal. YalungKhang West is in Phaktanglung rural municipality of Taplejung
district. The elevation of YalungKhang West is 8,077 meters. YalungKhang
west is 5th highest peak of the Kanchenjunga mountain range of Nepal.
YalungKhang West is 1.7 km south southeast from Khangbachen and 1.3 km
west of YalungKhang.",Province 1,Taplejung,Phaktanglung,Kanchenjunga,Spring 10000 (NRs),Spring 1800 (USD)
GYAC,https://nepalhimalpeakprofile.org/gyachung-khang,Gyachung Khang,,28.094444444444445,86.75083333333333,7952.0,26089.0,Opened,10/04/1964,"Yukihiko Kato,Kiyoto Sakaizawa,Pasang Phutar Sherpa, ","Gyachung Khang, part of Mahalangur range is located in the Solukhumbu District of Eastern Nepal.",Province 1,Solukhumbu/NC,Khumbu Pasang Lhamu/NC,Khumbu,Spring 8000 (NRs),Spring 600 (USD)
KANN,https://nepalhimalpeakprofile.org/kanchenjunga-north,Kanchenjunga North,,27.710833333333333,88.15444444444445,7938.0,26043.0,Opened,,,"Mount Kanchenjunga North, is in the Kanchenjunga mountain range of Nepal.
Kanchenjunga North is on the border of Province I of Nepal and India. The
elevation of Kanchenjunga North is 7,938 meters. It lies on the border of
Phaktanglung rural municipality of Taplejung district of Nepal and India.
Kanchenjunga North is the sixth highest peak of the Kanchenjunga mountain
range of Nepal. Kanchenjunga North is 1.0 km north northeast of
Kanchenjunga Main peak and 0.8 km south southwest of Khambachen East on
the border ridge of Nepal and India.",Province 1,Taplejung/NI,Phaktanglung/NI,Kanchenjunga,Sp 8000 (NRs),Sp 600 (USD)
ANN2,https://nepalhimalpeakprofile.org/annapurna-ii,Annapurna II,,28.534722222222225,84.12416666666665,7937.0,26040.0,Opened,17/05/1960,"Richard Grant (United Kingdom),Chris Bonington  (United Kingdom),Ang Nyima Sherpa (Nepal)",,Gandaki Pradesh,Kaski/Manang,Madi/Nesyang,Annapurna,Spring 8000 (NRs),Spring 600 (USD)
TENZ,https://nepalhimalpeakprofile.org/tenzing-peak,Tenzing Peak,,28.105833333333333,86.68694444444445,7916.0,25971.0,Opened,,,"Tenzing Peak, located in the Mahalangur range of the Nepalese Himalayas, is name purposed by the government of Nepal in honor of Tenzing Norgay, the first ascent of Everest with Edmund Hillary in 1953.",Province 1,Solukhumbu/NC,Khumbu Pasang Lhamu/NC,Mahalangur,Spring 8000 (NRs),Spring 600 (USD)
KANB,https://nepalhimalpeakprofile.org/khangbachen,Khangbachen,Kambachen,27.7164,88.1128,7903.0,25928.0,Opened,,,"Khangbachen is in the Kanchenjunga mountain range of Nepal and is in the Province I. Khangbachen lies in the Phaktanglung gaupalika of Taplejung district. Khangbachen is the seventh highest peak of Kanchenjunga mountain range of Nepal. Khangbachen is 4.1km east of Anidesh Chuli, 1.6 km north west of Yalung Khang West and 4.1km west of Kanchenjunga North.",Province 1,Taplejung,Phaktanglung,Kanchenjunga,NRs 8000 in spring season (NRs),USD 600 in spring season (USD)
HIME,https://nepalhimalpeakprofile.org/himal-chuli-east,Himal Chuli East,Himal Chuli Main,28.436944444444446,84.6413888888889,7893.0,25896.0,Opened,24/05/1960,"Masahiro Harada,Hisashi Tanabe",Himal Chuli East part of Manaslu sub range is located in the Lamjung and Gorkha District of Western Nepal.,Gandaki Pradesh,Lamjung/Gorkha,Dordi/Chum,Mansiri,Spring 8000 (NRs),Spring 600 (USD)
HARK,https://nepalhimalpeakprofile.org/harka-gurung-chuli,Dr. Harka Gurung Chuli,"Ngadi Chuli,Peak 29 Dakura",28.503333333333334,84.56861111111111,7871.0,25823.0,Opened,08/05/1979,"Ryszard Gajewski,Maciej Pawlikowski","Harka Gurung Chuli, also known as Peak 29, Dakura, is part of Manaslu sub-range of the Nepalese Himalayas and is located in the Manang and Gorkha District of Western Nepal.",Gandaki Pradesh,Manang/Gorkha,Nashong/Chum,Mansiri,Spring 8000 (NRs),Spring 600 (USD)
NUPT,https://nepalhimalpeakprofile.org/nup-tse,Nup Tse,,27.966944444444444,86.88944444444445,7855.0,25800.0,Opened,16/05/1961,"Dennis Davis,Tashi Sherpa",Nup Tse looks like a massive guarding Mt. Everest from Tang boche. It shares a beautiful and amazing view of Mt. Everest. The peak lies two kilometers west of Mt. Everest.,Province 1,Solukhumbu,Khumbu Pasang Lhamu,Mahalangur,Rs (NRs), (USD)
MKSE,https://nepalhimalpeakprofile.org/makalu-south-east,Makalu South East,,27.879247,87.098749,7803.0,25600.0,Proposed to open,,,,Province 1,Sankhuwasabha/NC,Makalu/NC,Mahalangur,Spring 8000 (NRs),Spring 600 (USD)
KBNE,https://nepalhimalpeakprofile.org/khambachen-east,Khambachen East,,27.717499999999998,88.15805555555556,7784.0,25538.0,Opened,,,Khambachen East is in the Kanchenjunga mountain range of Nepal. Khambachen East is located on the boundary of Province I and India. Khambachen East lies on the boundary of Phaktanglung gaupalika of Taplejung district and India. Khambachen East is 8th highest peak in Kanchenjunga mountain range of Nepal. Khambachen East is 4.5km east of Khangbachen and 0.7km north Kanchenjunga North. Khambachen East is 2.3km south of Gimigela Chuli.,Province 1,Taplejung/NI,Phaktanglung/NI,Kanchenjunga,Spring 8000 (NRs),Spring 600 (USD)
DHA2,https://nepalhimalpeakprofile.org/dhaulagiri-ii,Dhaulagiri II,,28.763055555555557,83.39055555555557,7751.0,25430.0,Opened,18/05/1971,"Adolf Huber,Ronald Fear,Adi Weissensteiner,Jangbu Sherpa",,Gandaki Pradesh,Dolpa/Myagdi,Chharka Tongsong/Dhawalagiri,Dhaulagiri,Sp 8000 (NRs),Sp 600 (USD)
NGOK,https://nepalhimalpeakprofile.org/ngojumba-khang,Ngojumba Khang,"Ngojumba Kang II,Ngozumpa Kang II",28.10638888888889,86.70861111111111,7743.0,25403.0,Opened,24/04/1965,"Naomi Uemura,Pemba Tenzing Sherpa",Ngojumba Khang lies in Mahalangur range of the Nepalese Himalayas and is located in the Solukhumbu district of Eastern Nepal.,Province 1,Solukhumbu/NC,Khumbu Pasang Lhamu/NC,Khumbu,Spring 8000 (NRs),Spring 600 (USD)
DHA3,https://nepalhimalpeakprofile.org/dhaulagiri-iii,Dhaulagiri III,"Naula,Nalu",28.753888888888888,83.37944444444443,7715.0,25311.0,Opened,20/10/1973,"Klaus Schreckenbach,Gerhard Haberl,Hans Saler",,Gandaki Pradesh,Dolpa/Myagdi,Chharka Tongsong/Dhawalagiri,Dhaulagiri,Sp 8000 (NRs),Sp 600 (USD)
KUMB,https://nepalhimalpeakprofile.org/kumbhakarna,Kumbhakarna,Jannu,27.682222222222222,88.04638888888888,7710.0,25299.0,Opened,27/04/1962,"Rene Desmaison,Paul Keller,Robert Paragot,Gyalzen Mitchung Sherpa",,Province 1,Taplejung,Phaktanglung,Kanchenjunga,Sp 8000 (NRs),Sp 600 (USD)
HILL,https://nepalhimalpeakprofile.org/hillary-peak,Hillary Peak,,28.10666666666667,86.71611111111112,7681.0,25200.0,Opened,,,Hillary Peak is the name given in honor of first climber of Mt. Everest Edmund Hillary. It was recommended by the Nepalese government to rename two peaks after the name of Hillary and Tenzing as a part of new opened summit to climb in 2014.,Province 1,Solukhumbu/NC,Khumbu Pasang Lhamu,Mahalangur,Rs (NRs), (USD)
MAK2,https://nepalhimalpeakprofile.org/makalu-ii,Makalu II (Kangchug Tse),Kangchhungtse,27.915555555555553,87.08055555555555,7678.0,25190.0,Opened,22/10/1954,"Jean Franco,Lionel Terray,Gyaltsen Norbu Sherpa,Pa Norbu Sherpa","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum",Province 1,Sankhuwasabha/NC,Makalu/NC,Mahalangur,Rs (NRs), (USD)
DHA4,https://nepalhimalpeakprofile.org/dhaulagiri-iv,Dhaulagiri IV,,28.735833333333336,83.31694444444445,7661.0,25134.0,Opened,09/05/1975,"Shiro Kawazu,Etsuro Yasuda",,Gandaki Pradesh,Dolpa/Myagdi,Chharka Tongsong/Dhawalagiri,Dhaulagiri,Sp 8000 (NRs),Sp 600 (USD)
VARA,https://nepalhimalpeakprofile.org/varaha-shikhar,Varaha Shikhar (Fang),Fang,28.578055555555554,83.80333333333333,7647.0,25089.0,Opened,15/01/1980,Austraian team,"Varaha Shikhar is the third highest summit in the Annapurna group, it has less attention from climbers, possibly  because its name does not have “Annapurna” in it. It lies southwest of Annapurna I.",Gandaki Pradesh,Myagdi/Kaski,Annapurna/Annapurna,Annapurna,Spring 8000 (NRs),Spring 600 (USD)
DHA5,https://nepalhimalpeakprofile.org/dhaulagiri-v,Dhaulagiri  V,,28.733888888888888,83.36388888888888,7618.0,24993.0,Opened,01/05/1975,"Masaaki Morioka,Pemba Tsering Sherpa",,Gandaki Pradesh,Dolpa/Myagdi,Chharka Tongsong/Dhawalagiri,Dhaulagiri,Sp 8000 (NRs),Sp 600 (USD)
SHAN,https://nepalhimalpeakprofile.org/shanti-shikhar,Shanti Shikhar,"Peak 38,Shartse",27.955277777777777,86.9675,7591.0,24905.0,Opened,,,"Shanti Shikhar, which lies in the Mahalangur range of the Nepalese Himalayas is located in the Solukhumbu district of Eastern Nepal.",Province 1,Solukhumbu/NC,Khumbu Pasang Lhamu/NC,Mahalangur,Spring 8000 (NRs),Spring 600 (USD)
ANN3,https://nepalhimalpeakprofile.org/annapurna-iii,Annapurna III,,28.584444444444443,83.99166666666667,7555.0,24786.0,Opened,06/05/1961,"Mohan,Kohli  (India),Sonam Gyatso (India),Sonam Girmi (India)",,Gandaki Pradesh,Kaski/Manang,Nesyang/Machhapuchhre,Annapurna,Spring 8000 (NRs),Spring 600 (USD)
KGSW,https://nepalhimalpeakprofile.org/khangsar-khang-west,Khangsar Khang West,Herzog Peak,28.609166666666667,83.86027777777777,7555.0,24786.0,Opened,,,"This peak also called Herzog peak after the name of great French explorer and mountaineer Maurice Herzog, who with Louis Lachenal became the first climbers in modern history to climb a peak over 8000 m. when they summated the Himalayan mountain Annapurna I on 3 June, 1950. Herzog’s account of the expedition was published in 1951 in French then in English in 1952 under the title “Annapurna”. 
Located at the “crossroads” of ridges, you will admire this mountain peak during the ascent  to the lake Tilicho. From it separates from the main Annapurna ridge powerful side ridge with Tilicho peak and the peaks of Nilgiri massif.",Gandaki Pradesh,Myagdi/Kaski,Annapurna/Annapurna,Annapurna,Sp 8000 (NRs),Sp 600 (USD)
HIMW,https://nepalhimalpeakprofile.org/himal-chuli-west,Himal Chuli West,,28.435555555555556,80.61888888888888,7540.0,24737.0,Opened,07/05/1978,"Yoshio Ogata,Kazuhiro Sugeno",Himal Chuli West is part of Manaslu sub-range located in the Lamjung district of Western Nepal.,Gandaki Pradesh,Lamjung,Marsyangdi/Dordi,Mansiri,Spring 8000 (NRs),Spring 600 (USD)
ANN4,https://nepalhimalpeakprofile.org/annapurna-iv,Annapurna IV,,28.53666666666667,84.085,7525.0,24688.0,Opened,30/05/1955,"Heinz Steinmetz (Germany),Harald Biller (Germany),Juergen Wellenkamp (Germany)",,,Kaski,Machhapuchhre/Madi,Annapurna,Spring 8000 (NRs),Spring 600 (USD)
KGSR,https://nepalhimalpeakprofile.org/khangsar-khang,Khangsar Khang,Roc Noir,28.6133,83.8736,7485.0,24557.0,Opened,09/05/1969,"Reinhold Obster,Pit Schubert,Karl Winkler",,Gandaki Pradesh,Manang/Myagdi,Nesyang/Annapurna,Annapurna,Spring 6000 (NRs),Spring 500 (USD)
JONG,https://nepalhimalpeakprofile.org/jongsang-peak,Jongsang Peak,"Jonsong,Jhinsang",27.88111111111111,88.13805555555557,7483.0,24551.0,Opened,03/06/1930,"Hermann Hoerlin,Erwin Schneider",,Province 1,Taplejung/NC,Phaktanglung/NC,Janak,Spring 6000 (NRs),Spring 500 (USD)
